#DC,Time
100,0.36558079719543457
200,1.1488018035888672
300,3.3492889404296875
400,8.161432027816772
500,14.837969064712524
600,25.648818731307983
700,41.810462951660156
800,62.33467245101929
900,90.88952207565308
1000,124.77741718292236
